first timestamp,62
timestamp,repeats,distance_from_founder
2178,306,6
2178,217,6
2178,177,7
2178,108,7
2178,59,8
2178,54,6
2178,46,7
2178,44,7
2178,31,5
2178,25,8
2178,24,7
2178,19,8
2178,19,7
2178,16,7
2178,15,7
2178,15,8
2178,14,6
2178,14,8
2178,13,8
2178,12,8
2178,12,7
2178,11,9
2178,11,7
2178,10,7
2178,9,6
2178,9,9
2556,762,7
2556,634,9
2556,346,8
2556,233,8
2556,149,8
2556,57,9
2556,49,10
2556,47,7
2556,45,10
2556,41,9
2556,37,7
2556,37,9
2556,35,8
2556,34,9
62,1533,0
62,24,1
62,21,1
62,19,1
62,15,1
62,13,1
