first timestamp,87
timestamp,repeats,distance_from_founder
1003,523,0
1003,163,1
1003,54,1
1003,49,1
1003,32,1
1003,29,2
1003,28,1
1003,22,1
1003,21,1
1003,19,1
1003,18,3
1003,15,2
1003,14,2
1003,13,1
1437,278,0
1437,105,2
1437,65,1
1437,41,1
1437,34,1
1437,33,2
1437,17,2
1437,17,2
1437,14,2
1437,12,1
1437,11,1
1437,8,1
1437,8,3
1437,8,2
1437,7,1
1437,7,2
1437,7,1
1437,7,1
200,975,0
200,338,1
200,18,1
200,16,1
200,14,1
200,11,1
2208,243,1
2208,235,1
2208,194,2
2208,150,0
2208,95,3
2208,42,3
2208,40,3
2208,33,2
2208,33,1
2208,32,3
2208,28,2
2208,25,2
2208,25,2
2208,22,2
2208,22,3
2208,19,2
2208,15,3
2208,14,3
87,526,0
87,68,1
87,31,1
87,26,2
87,22,1
87,12,1
87,9,1
