first timestamp,106
timestamp,repeats,distance_from_founder
106,861,0
106,92,1
106,64,1
106,39,1
106,29,1
106,25,2
106,20,1
106,18,2
106,16,1
106,14,1
1815,298,6
1815,229,3
1815,199,5
1815,169,5
1815,165,5
1815,65,6
1815,64,4
1815,55,7
1815,48,2
1815,38,4
1815,38,6
1815,37,5
1815,37,5
1815,34,6
1815,32,5
1815,30,4
1815,28,6
1815,21,7
1815,15,6
2214,266,3
2214,193,5
2214,124,6
2214,95,5
2214,70,7
2214,70,3
2214,68,5
2214,55,6
2214,55,5
2214,50,5
2214,50,8
2214,44,6
2214,32,5
2214,27,5
2214,20,5
2214,19,3
2214,18,4
2214,15,4
2214,11,4
2608,205,8
2608,41,7
2608,31,8
2608,30,6
2608,30,4
2608,26,7
2608,22,3
2608,20,4
2608,18,6
2608,17,5
2608,17,4
2608,16,7
2608,13,6
2608,13,9
2608,13,6
2608,12,5
2608,12,7
2608,12,7
2608,12,4
2608,12,6
2608,11,5
2608,11,3
2608,10,7
2608,10,9
2608,9,9
2608,9,6
2608,9,5
2608,9,9
2608,8,7
2608,8,5
2608,8,6
2608,8,6
2608,8,8
2608,8,7
2608,8,6
2608,7,5
2608,7,5
2608,7,6
2955,83,8
2955,68,6
2955,38,5
2955,33,5
2955,32,6
2955,30,5
2955,29,7
2955,28,7
2955,26,7
2955,25,7
2955,22,7
2955,21,6
2955,20,9
2955,20,7
2955,18,9
2955,15,7
2955,14,7
2955,14,10
2955,14,8
2955,13,8
2955,12,9
2955,12,9
2955,12,6
2955,12,8
2955,12,7
2955,11,6
2955,11,8
2955,11,8
2955,11,6
2955,10,8
2955,10,6
2955,10,7
2955,9,5
2955,9,7
2955,9,7
2955,9,6
2955,9,9
2955,9,7
813,205,1
813,183,3
813,141,2
813,116,1
813,104,1
813,66,1
813,43,1
813,21,3
813,12,5
813,11,0
813,9,2
