first timestamp,2668
timestamp,repeats,distance_from_founder
2668,273,3
2668,248,6
2668,214,2
2668,202,4
2668,140,6
2668,131,7
2668,97,7
2668,62,4
2668,57,4
2970,471,6
2970,180,5
2970,100,4
2970,73,4
2970,57,5
2970,51,6
2970,50,7
2970,48,9
2970,42,6
2970,41,2
2970,40,6
2970,30,5
2970,27,8
2970,25,7
2970,9,5
3934,289,7
3934,134,8
3934,48,7
3934,36,7
3934,31,5
3934,27,5
3934,26,5
3934,26,6
3934,26,6
3934,25,5
3934,25,4
3934,23,5
3934,22,5
3934,22,6
3934,20,7
3934,20,5
3934,20,5
3934,19,7
3934,18,6
3934,17,5
3934,16,3
3934,16,9
3934,15,8
3934,13,4
3934,13,5
3934,11,5
3934,10,3
3934,9,7
3934,9,8
3934,8,5
3934,8,9
4445,1204,8
4445,23,9
4445,21,5
4445,20,9
5034,96,6
5034,43,3
5034,22,6
5034,21,7
5034,21,4
5034,17,5
5034,15,5
5034,14,6
5034,11,5
5034,10,5
5034,10,8
5034,9,7
5034,9,6
5034,9,7
5034,9,5
5034,8,5
5034,8,5
5034,8,6
5034,8,6
5034,7,4
5034,7,5
5034,7,7
5034,7,5
5034,7,6
5034,7,8
5034,6,4
5034,6,6
5034,6,3
5034,6,11
5034,6,7
5034,6,6
5034,6,5
5034,6,4
5392,52,7
5392,25,5
5392,23,6
5392,23,6
5392,23,5
5392,20,8
5392,19,3
5392,18,6
5392,17,4
5392,17,8
5392,17,6
5392,15,7
5392,15,5
5392,15,6
5392,14,10
5392,14,8
5392,13,5
5392,13,4
5392,13,9
5392,13,3
5392,12,5
5392,12,6
5392,11,7
5392,11,6
5392,11,7
5392,11,10
5392,10,4
5392,9,5
5392,9,10
5392,9,5
5392,9,9
5392,9,5
5392,9,7
5392,7,6
5392,7,4
5392,7,5
5392,7,9
5392,7,6
5392,7,7
5392,7,5
5392,7,8
5392,7,7
5811,215,4
5811,93,7
5811,91,6
5811,85,8
5811,84,8
5811,74,7
5811,62,8
5811,49,11
5811,45,6
5811,43,6
5811,42,7
5811,39,6
5811,38,9
5811,34,5
5811,31,5
5811,31,6
