first timestamp,122
timestamp,repeats,distance_from_founder
1084,769,0
1084,164,1
1084,111,1
1084,67,2
1084,61,2
1084,52,1
1084,41,1
1084,34,3
1084,33,1
1084,32,1
1084,31,2
1084,27,1
1084,25,1
1084,22,1
1084,21,1
1084,18,2
1084,17,1
1084,16,1
1084,15,2
122,2658,0
122,52,1
122,36,1
122,24,1
1254,347,0
1254,174,2
1254,160,1
1254,51,1
1254,47,1
1254,39,1
1254,36,2
1254,30,2
1254,27,1
1254,24,3
1254,24,3
1254,22,3
1254,21,3
1254,21,1
1254,21,1
1254,20,2
1254,18,1
1254,17,1
1254,16,2
1254,15,1
1254,14,3
1254,14,3
1254,14,1
1254,13,1
1254,13,2
1282,448,0
1282,228,1
1282,98,2
1282,79,2
1282,76,1
1282,54,2
1282,50,2
1282,41,1
1282,38,3
1282,34,2
1282,30,2
1282,25,1
1282,22,2
1282,21,3
1282,21,2
1282,21,1
1282,20,1
1282,19,3
1282,19,1
1282,17,2
1282,17,2
1282,16,2
1393,304,1
1393,231,3
1393,166,0
1393,65,2
1393,57,2
1393,44,2
1393,34,1
1393,33,1
1393,31,3
1393,30,2
1393,28,2
1393,26,3
1393,26,2
1393,25,3
1393,25,3
1393,24,1
1393,23,2
1393,23,3
1393,20,2
1393,19,2
1393,17,3
1393,15,2
1393,11,1
1393,11,3
1393,11,3
1393,10,2
1393,10,1
1393,10,3
1393,10,2
1861,479,2
1861,195,3
1861,82,0
1861,74,3
1861,68,4
1861,47,5
1861,43,4
1861,41,4
1861,40,5
1861,39,2
1861,36,3
1861,34,2
1861,32,3
1861,28,5
1861,24,2
1861,23,3
1861,21,4
1861,18,2
1861,17,3
1861,16,3
1861,13,6
1861,13,4
1861,12,4
1861,11,5
1861,11,4
1861,11,4
1861,10,5
2303,194,4
2303,139,4
2303,129,3
2303,119,4
2303,90,4
2303,89,6
2303,81,4
2303,77,3
2303,73,4
2303,68,5
2303,56,5
2303,54,4
2303,53,7
2303,49,3
2303,48,3
2303,48,4
2303,47,3
2303,45,2
2303,44,5
2303,41,6
2303,40,7
2303,40,9
2303,38,5
2303,32,5
2303,30,5
2303,27,6
2303,27,5
2303,27,6
2303,26,4
2303,26,3
2303,24,3
2303,24,4
2303,24,5
2303,24,6
2303,24,4
2303,23,3
2303,23,3
2303,23,5
2303,23,6
2303,23,3
2303,22,2
2578,69,3
2578,64,3
2578,56,4
2578,55,2
2578,42,6
2578,38,3
2578,31,6
2578,31,4
2578,28,5
2578,22,6
2578,20,3
2578,18,9
2578,17,4
2578,16,6
2578,16,4
2578,15,3
2578,15,5
2578,15,4
2578,14,3
2578,14,6
2578,14,4
2578,12,6
2578,12,4
2578,11,6
2639,205,5
2639,139,2
2639,108,3
2639,97,4
2639,70,3
2639,41,7
2639,36,3
2639,35,4
2639,35,4
2639,32,5
2639,28,3
2639,27,4
2639,26,6
2639,25,6
2922,194,9
2922,129,8
2922,58,6
2922,56,5
2922,48,10
2922,31,4
2922,31,5
2922,28,5
2922,27,4
2922,27,5
2922,25,7
2922,24,4
2922,23,5
562,653,0
562,89,1
562,31,2
562,28,2
562,12,1
562,10,1
562,10,1
562,9,1
562,9,1
562,6,1
