first timestamp,209
timestamp,repeats,distance_from_founder
1026,552,2
1026,171,4
1026,130,2
1026,113,1
1026,112,1
1026,109,0
1026,79,2
1026,57,2
1026,46,2
1026,32,3
1026,26,3
1026,20,3
1026,15,2
1026,15,1
1396,123,4
1396,123,3
1396,86,2
1396,85,2
1396,70,5
1396,58,3
1396,53,3
1396,48,3
1396,44,3
1396,40,1
1396,38,4
1396,30,4
1396,28,4
1396,26,3
1396,25,3
1396,17,5
1396,16,3
1396,14,3
1396,13,2
1396,12,5
1750,73,4
1750,65,2
1750,52,3
1750,52,4
1750,43,3
1750,40,3
1750,37,4
1750,29,5
1750,27,3
1750,25,5
1750,23,4
1750,23,5
1750,19,4
1750,18,3
1750,18,3
1750,17,6
1750,16,5
1750,15,5
1750,15,4
1750,14,4
1750,13,3
1750,12,5
1750,12,3
2043,127,4
2043,60,5
2043,48,3
2043,46,5
2043,44,5
2043,36,6
2043,28,3
2043,20,4
2043,19,6
2043,19,6
2043,17,2
2043,14,4
2043,14,4
2043,13,7
2043,13,7
2043,12,5
2043,12,5
2043,11,3
2043,9,4
2043,9,6
209,470,0
209,175,1
209,67,1
209,18,2
209,16,2
209,11,1
209,10,2
572,354,0
572,143,1
572,98,1
572,73,1
572,53,2
572,17,2
