first timestamp,303
timestamp,repeats,distance_from_founder
1414,257,3
1414,126,4
1414,120,4
1414,109,7
1414,99,5
1414,61,5
1414,43,5
1414,40,5
1414,39,4
1414,30,4
1414,29,4
1813,460,3
1813,242,4
1813,106,5
1813,57,4
1813,57,4
1813,48,5
1813,42,6
1813,38,4
1813,36,4
1813,36,5
1813,34,5
1813,33,5
1813,33,5
1813,31,4
1813,26,5
1813,24,6
1813,23,4
1813,22,5
1813,21,5
1813,20,6
1813,18,5
1813,15,5
1813,11,6
1813,9,5
2149,298,284
2149,129,284
2149,77,284
2149,75,284
2149,73,286
2149,60,283
2149,50,285
2149,48,285
2149,40,283
2149,39,284
2149,39,284
2149,35,285
2149,33,282
2149,32,285
2149,28,283
2149,27,282
2149,20,285
2149,20,284
2149,18,283
2149,18,284
2149,18,283
2149,17,283
2149,16,285
2149,16,282
2149,16,288
2149,16,283
2149,15,284
2149,15,283
2149,15,282
2149,15,283
2149,14,284
2149,14,284
2149,14,283
2149,14,282
2149,14,283
2149,14,286
2149,13,283
2149,13,284
2149,13,281
2149,13,284
2149,12,282
2149,12,285
2149,11,286
2149,11,282
2149,11,283
713,416,2
713,372,1
713,163,1
713,100,4
713,85,2
713,57,2
713,53,2
713,39,3
713,31,1
