first timestamp,87
timestamp,repeats,distance_from_founder
1003,533,0
1003,175,1
1003,98,1
1003,49,2
1003,34,2
1003,30,2
1003,28,2
1003,18,1
1003,13,1
1810,378,0
1810,214,1
1810,68,2
1810,52,2
1810,49,2
1810,37,1
1810,32,3
1810,24,1
1810,23,1
1810,22,1
1810,19,2
1810,16,2
1810,15,4
1810,12,1
2208,66,0
2208,63,2
2208,60,1
2208,45,1
2208,38,2
2208,37,2
2208,25,3
2208,20,3
2208,20,3
2208,19,2
2208,16,2
2208,15,3
2208,14,2
2208,13,4
2208,12,2
2208,11,4
2208,11,3
2208,9,2
2208,7,1
2208,7,3
2208,7,2
2208,6,1
