first timestamp,146
timestamp,repeats,distance_from_founder
1126,278,3
1126,115,3
1126,92,2
1126,72,4
1126,65,3
1126,64,3
1126,59,3
1126,51,4
1126,48,3
1126,43,5
1126,43,5
1126,34,6
1126,16,5
1476,208,2
1476,111,3
1476,42,5
1476,36,3
1476,28,4
1476,22,3
1476,22,4
1476,20,5
1476,20,4
1476,19,3
1476,17,5
1476,16,3
1476,13,4
1476,13,4
1476,12,4
1476,11,3
1476,11,7
1476,10,5
1476,10,5
1476,10,3
1476,10,4
1476,9,5
1476,8,5
1476,8,4
1476,7,6
1476,7,6
1476,7,4
1476,7,4
1476,7,6
1476,7,7
1476,7,4
1476,6,3
1476,6,6
1476,6,4
1476,6,4
1934,385,2
1934,160,3
1934,112,6
1934,100,4
1934,94,4
1934,88,5
1934,88,3
1934,77,4
1934,47,4
1934,46,3
1934,31,4
1934,26,3
2344,644,3
2344,288,4
2344,57,5
2344,53,4
2344,48,5
2344,39,4
2344,23,3
2344,23,6
2344,23,5
2344,22,5
2344,22,5
2344,21,4
2344,21,4
2344,20,4
2344,20,4
2344,20,2
2344,20,5
2344,19,5
2344,18,5
2344,18,4
2344,18,4
2344,17,4
2344,17,4
2344,17,4
2344,17,10
2344,17,5
2344,17,6
2344,16,4
2344,16,5
2344,16,5
2344,14,6
2344,14,7
