first timestamp,122
timestamp,repeats,distance_from_founder
122,260,0
122,192,2
122,181,1
122,144,1
122,18,1
122,12,1
122,11,3
1254,222,4
1254,186,2
1254,97,3
1254,70,3
1254,41,4
1254,29,4
1254,28,6
1254,23,5
1254,19,4
1254,18,5
1254,16,3
1254,15,4
1254,15,5
1254,15,5
1254,15,3
1254,15,5
1254,14,4
1254,14,8
1254,13,7
1254,12,5
1254,12,4
1254,11,3
1254,11,4
1254,10,4
1254,9,5
1254,9,6
1282,368,4
1282,69,4
1282,52,3
1282,44,5
1282,38,3
1282,36,6
1282,31,5
1282,31,4
1282,30,5
1282,27,6
1282,25,3
1282,23,2
1282,23,6
1282,21,4
1282,19,4
1282,18,5
1393,902,4
1393,170,2
1393,146,6
1393,91,5
1393,89,6
1393,85,4
1393,83,5
1393,81,4
1393,81,4
1393,79,5
1393,70,7
1393,70,5
1393,67,5
1393,64,5
1393,53,5
1393,50,3
1393,43,5
1393,39,6
1393,27,6
2578,323,11
2578,98,12
2578,76,11
2578,66,10
2578,45,12
2578,36,9
2578,31,10
2578,30,10
2578,29,10
2578,27,12
2578,27,12
2578,24,10
2578,23,13
2578,19,9
2578,17,11
2578,16,14
2578,16,10
2578,16,8
2578,15,11
2578,13,7
2578,12,8
2578,11,11
2578,11,6
2578,11,10
2639,298,11
2639,76,11
2639,53,10
2639,53,11
2639,38,12
2639,35,10
2639,35,12
2639,31,13
2639,29,11
2639,29,12
2639,28,11
2639,25,14
2639,24,7
2639,24,12
2639,23,11
2639,22,10
2639,22,12
2639,21,10
2639,17,9
2639,16,12
2639,15,10
2639,15,10
2639,15,3
2922,149,13
2922,55,11
2922,50,10
2922,49,10
2922,36,10
2922,32,9
2922,31,12
2922,30,12
2922,28,12
2922,23,11
2922,22,12
2922,21,11
2922,20,11
2922,18,11
2922,18,12
2922,17,11
2922,17,12
2922,16,13
2922,14,11
2922,14,10
562,1428,2
562,120,3
562,26,1
562,10,3
