first timestamp,106
timestamp,repeats,distance_from_founder
1815,347,6
1815,214,2
1815,135,5
1815,105,6
1815,52,5
1815,40,4
1815,34,3
1815,31,7
1815,28,3
1815,28,5
1815,24,5
1815,23,3
1815,22,5
1815,21,7
1815,21,4
1815,19,3
1815,19,5
1815,18,4
1815,18,3
1815,18,3
1815,18,7
1815,17,5
1815,16,3
1815,16,3
1815,13,6
1815,11,3
2214,465,4
2214,381,4
2214,321,5
2214,280,2
2214,252,7
2214,220,5
2214,164,7
2214,146,4
2214,135,4
2214,96,5
2214,95,5
2214,94,5
2214,80,7
2214,56,3
2608,327,8
2608,100,4
2608,67,6
2608,66,7
2608,55,3
2608,52,7
2608,45,7
2608,45,7
2608,38,3
2608,34,9
2608,33,4
2608,33,4
2608,32,5
2608,32,7
2608,32,6
2608,31,4
2608,31,8
2608,30,5
2608,30,7
2608,27,8
2608,27,7
2608,27,5
2608,26,4
2608,26,8
2608,24,8
2608,24,5
2608,24,6
2608,23,6
2608,22,9
2608,22,7
2608,21,6
2608,21,9
2608,21,5
2608,21,6
2608,20,5
2608,18,5
2608,18,6
2608,17,7
2955,125,4
2955,83,5
2955,75,5
2955,66,5
2955,65,6
2955,45,3
2955,37,6
2955,35,6
2955,29,5
2955,28,6
2955,27,5
2955,25,4
2955,25,6
2955,24,7
2955,24,5
2955,23,6
2955,23,5
2955,22,6
2955,21,6
2955,21,5
2955,20,6
2955,19,8
2955,19,8
2955,19,6
2955,18,4
2955,17,5
2955,17,5
2955,17,8
2955,17,5
2955,17,5
2955,17,6
2955,16,6
2955,16,4
2955,16,6
