first timestamp,62
timestamp,repeats,distance_from_founder
118,2595,1
118,96,2
118,89,2
118,85,2
118,85,0
118,81,3
118,69,2
118,62,2
118,58,2
118,39,2
118,26,4
118,24,2
1293,1993,2
1293,179,6
1293,144,3
1293,118,3
1293,40,3
1293,38,3
1724,1503,3
1724,188,5
1724,167,4
2178,822,3
2178,93,6
2178,50,4
2178,37,5
2178,37,4
2178,36,4
2178,23,4
2178,22,5
2178,21,4
2178,21,6
2178,21,6
2178,20,4
2178,20,4
2178,19,4
2178,19,4
2178,18,6
2178,18,4
2178,16,4
2178,16,4
2178,15,4
2178,13,4
2178,13,4
2178,12,4
2178,12,4
2178,11,4
2178,11,5
2178,11,4
2178,10,4
2556,1073,3
2556,82,5
2556,77,4
2556,50,4
2556,37,5
2556,35,6
2556,34,5
2556,32,5
2556,31,4
2556,26,6
2556,22,4
2556,22,4
2556,21,5
62,2445,0
62,179,1
62,62,1
62,50,2
62,34,1
62,26,1
62,25,1
62,23,1
62,19,1
