first timestamp,146
timestamp,repeats,distance_from_founder
1126,139,9
1126,98,3
1126,87,10
1126,85,6
1126,80,9
1126,73,11
1126,66,4
1126,64,6
1126,63,11
1126,51,10
1126,45,9
1126,27,12
1126,7,11
1476,120,9
1476,94,4
1476,84,6
1476,69,11
1476,57,10
1476,38,10
1476,34,12
1476,29,8
1476,25,8
1476,25,6
1476,24,13
1476,23,12
1476,22,13
1476,22,3
1476,22,12
1476,22,11
1476,21,11
1476,21,12
1476,20,12
1476,20,7
1476,19,9
1476,19,9
1476,19,7
1476,19,5
1476,19,4
1476,19,11
1476,18,12
1476,18,10
1476,18,12
1476,17,10
1476,16,5
1476,16,11
1476,15,13
1476,14,10
1476,14,12
1476,14,12
1476,14,13
1476,13,11
1476,13,7
1476,13,11
1476,13,10
1476,12,11
1476,12,10
1476,12,11
1476,12,10
1476,11,10
1476,11,10
1476,10,9
1476,10,12
1476,10,11
1476,10,7
1934,242,10
1934,177,14
1934,157,14
1934,149,12
1934,143,11
1934,140,14
1934,127,12
1934,124,9
1934,120,15
1934,114,12
1934,112,13
1934,111,11
1934,109,11
1934,104,12
1934,97,12
1934,95,11
1934,78,12
2006,74,14
2006,73,14
2006,66,10
2006,53,11
2006,44,15
2006,39,13
2006,37,10
2006,36,16
2006,31,10
2006,31,14
2006,27,15
2006,27,11
2006,26,13
2006,25,12
2006,24,15
2006,23,15
2006,22,10
2006,19,13
2006,18,12
2006,15,11
2006,13,14
2006,11,12
2006,9,11
2006,8,16
2344,292,14
2344,234,15
2344,87,15
2344,61,15
2344,57,10
2344,53,16
2344,48,16
501,154,8
501,146,7
501,75,6
501,55,8
501,54,2
501,48,7
501,39,6
501,32,5
501,22,5
501,21,8
501,18,3
501,17,5
501,12,4
501,11,6
501,9,4
501,8,8
501,8,1
