first timestamp,2668
timestamp,repeats,distance_from_founder
5034,59,15
5034,45,14
5034,32,15
5034,22,15
5034,18,16
5034,14,18
5034,13,13
5034,12,14
5034,12,14
5034,11,16
5034,11,14
5034,11,13
5034,11,16
5034,11,14
5034,10,15
5034,9,13
5034,9,16
5034,9,15
5034,9,13
5034,9,13
5034,8,18
5034,8,15
5034,8,18
5034,8,7
5034,8,9
5034,8,17
5034,7,12
5034,7,14
5034,7,18
5034,7,12
5034,7,16
5034,7,14
5034,7,13
5034,6,13
5034,6,19
5034,6,16
5034,6,14
5034,6,18
5034,6,14
5392,96,18
5392,68,18
5392,48,7
5392,40,15
5392,27,15
5392,26,10
5392,25,16
5392,20,15
5392,19,15
5392,19,14
5392,17,18
5392,17,16
5392,16,11
5392,16,13
5392,16,14
5392,16,19
5392,15,16
5392,15,8
5392,15,17
5392,15,7
5392,14,14
5392,14,9
5392,14,16
5392,14,14
5392,13,17
5392,13,9
5392,13,12
5392,13,18
5392,13,17
5392,12,15
5392,12,14
5392,12,10
5392,11,15
5392,11,14
5392,11,17
5392,11,15
5392,11,15
5392,11,16
5392,11,8
5392,11,7
5811,46,7
5811,44,15
5811,39,16
5811,34,18
5811,27,14
5811,26,13
5811,24,17
5811,20,13
5811,18,14
5811,17,14
5811,12,18
5811,12,19
5811,11,15
5811,10,18
5811,9,16
5811,9,18
5811,9,18
5811,9,19
5811,8,9
5811,8,17
5811,8,13
