first timestamp,134
timestamp,repeats,distance_from_founder
1057,187,12
1057,156,14
1057,152,14
1057,137,14
1057,88,14
1057,46,14
1057,42,13
1057,41,14
1057,38,14
1057,26,13
1057,25,13
1057,25,13
1057,24,13
1057,24,15
1057,24,13
1057,22,17
1057,22,14
1057,21,13
1057,20,14
1057,20,14
1057,20,15
1057,20,15
1057,19,13
1057,19,15
1057,19,13
1057,19,15
1057,18,16
1057,17,10
1057,17,15
1057,17,13
1057,17,16
1057,16,14
1057,16,14
1057,15,14
1057,15,14
1057,14,13
1057,14,14
1057,14,14
1057,14,15
1057,13,13
1057,12,15
1057,12,14
1414,316,15
1414,103,18
1414,89,16
1414,74,17
1414,64,15
1414,62,15
1414,62,12
1414,60,15
1414,57,12
1414,57,13
1414,52,16
1414,45,16
1414,45,15
1414,42,16
1414,41,15
1414,25,11
1414,25,12
1414,25,16
1414,17,16
1813,119,18
1813,55,14
1813,55,12
1813,52,17
1813,51,12
1813,51,16
1813,47,13
1813,44,14
1813,42,12
1813,41,16
1813,39,14
1813,38,14
1813,33,12
1813,31,14
1813,29,12
1813,28,17
1813,26,13
1813,25,13
1813,24,15
1813,23,18
1813,18,13
1813,6,13
